Deutscher_17;;'Deutscher_17',
Itschi1;;'Itschi1',
Lepanto_;;'Lepanto_',
Luisa_Maletzki;;'Luisa_Maletzki',
kevin_hevin_21;;'kevin_hevin_21',
gerlex;;'gerlex',
EldonNick;;'EldonNick',
Wilhelm_Koerner;;'Wilhelm_Koerner',
aka_Ganymed;;'aka_Ganymed',
phalanx_europa;;'phalanx_europa',
ruhr_area51;;'ruhr_area51',
Rosskar1;;'Rosskar1',
_enochwasright;;'_enochwasright',
Theodoretiker;;'Theodoretiker',
realNEWZBLOG;;'realNEWZBLOG',
Deutscher_17;;'Deutscher_17',
Itschi1;;'Itschi1',
Lepanto_;;'Lepanto_',
Luisa_Maletzki;;'Luisa_Maletzki',
kevin_hevin_21;;'kevin_hevin_21',
gerlex;;'gerlex',
EldonNick;;'EldonNick',
Wilhelm_Koerner;;'Wilhelm_Koerner',
aka_Ganymed;;'aka_Ganymed',
phalanx_europa;;'phalanx_europa',
ruhr_area51;;'ruhr_area51',
Rosskar1;;'Rosskar1',
_enochwasright;;'_enochwasright',
Theodoretiker;;'Theodoretiker',
realNEWZBLOG;;'realNEWZBLOG',
supermampf;;'supermampf',
RMichael2000;;'RMichael2000',
kekdich;;'kekdich',
enythen;;'enythen',
politoreality;;'politoreality',
Chreuper;;'Chreuper',
Jeb_Ident;;'Jeb_Ident',
asorent;;'asorent',
trueY4K;;'trueY4K',
MerkelFan666;;'MerkelFan666',
TeutemanTuts;;'TeutemanTuts',
LordZentrum;;'LordZentrum',
TheDefi4nt;;'TheDefi4nt',
HeiligeRevolte;;'HeiligeRevolte',
Paganaer;;'Paganaer',
LangeRII;;'LangeRII',
franziskam108;;'franziskam108',
PepeBismarck;;'PepeBismarck',
LudwigErhard2;;'LudwigErhard2',
Urleere;;'Urleere',
NorikNordlicht;;'NorikNordlicht',
koeterrasse;;'koeterrasse',
analogsubground;;'analogsubground',
Silgetown;;'Silgetown',
mick_denis;;'mick_denis',
Robert30521605;;'Robert30521605',
Metadiskurs1;;'Metadiskurs1',
DerNervenarzt;;'DerNervenarzt',
Rheinpfeil67;;'Rheinpfeil67',
ald3rs0n;;'ald3rs0n',
Fatima_Najar;;'Fatima_Najar',
VisithorQ;;'VisithorQ',
BerundoKun;;'BerundoKun',
Stefan_RW84;;'Stefan_RW84',
E_Fall_Planer;;'E_Fall_Planer',
Tiuri1983;;'Tiuri1983',
dgsportler;;'dgsportler',
Widerstand3;;'Widerstand3',
realPeterV;;'realPeterV',
de_ewake;;'de_ewake',
IdentitarianL;;'IdentitarianL',
QubitusQ;;'QubitusQ',
ChrissoJacobsen;;'ChrissoJacobsen',
1407jule;;'1407jule',
RGLarp12;;'RGLarp12',
Johann_Weiler;;'Johann_Weiler',
AnonymforFredom;;'AnonymforFredom',
MartinNeubaue10;;'MartinNeubaue10',
er1k_w;;'er1k_w',
Aufklrer1;;'Aufklrer1',
einsmannimmond;;'einsmannimmond',
Kek_von_D;;'Kek_von_D',
grimm_grimm1;;'grimm_grimm1',
Svenja012;;'Svenja012',
KimmyBertsch;;'KimmyBertsch',
MalWieder_real;;'MalWieder_real',
MaxPan21064515;;'MaxPan21064515',
PaulAbr89089961;;'PaulAbr89089961',
AlbertDenilzer;;'AlbertDenilzer',
Shimmy_ryhmes;;'Shimmy_ryhmes',
HaddadAlam;;'HaddadAlam',
TS_Quint;;'TS_Quint',
AnniNyirfa;;'AnniNyirfa',
ThisIsEuropa84;;'ThisIsEuropa84',
Mjoelnir16;;'Mjoelnir16',
NeroVonAarfeste;;'NeroVonAarfeste',
RenateBiller;;'RenateBiller',
Venatorezz;;'Venatorezz',
AbdulMansoor01;;'AbdulMansoor01',
Vergesslichr;;'Vergesslichr',
Vier51;;'Vier51',
Bender145288;;'Bender145288',
NamHumanum;;'NamHumanum',
1989_basti;;'1989_basti',
frank_seiner;;'frank_seiner',
Fimu152;;'Fimu152',
lumi_ib;;'lumi_ib',
petros_el;;'petros_el',
MichaelSellne11;;'MichaelSellne11',
KaiservonGottII;;'KaiservonGottII',
tueringi24972;;'tueringi24972',
Alfredthe2nd;;'Alfredthe2nd',
ancorinan;;'ancorinan',
affenzirkusx;;'affenzirkusx',
Twinterbi;;'Twinterbi',
GerSoeren;;'GerSoeren',
IKHammer;;'IKHammer',
Ich_Ichsen;;'Ich_Ichsen',
Heinz10X;;'Heinz10X',
Claudia_Hin24;;'Claudia_Hin24',
Alex84426552;;'Alex84426552',
Politikunverdr1;;'Politikunverdr1',
Ultimo_Ratio28;;'Ultimo_Ratio28',
AfDsupp55;;'AfDsupp55',
Nico1999g;;'Nico1999g',
HannesRaunhaus;;'HannesRaunhaus',
vizionpat;;'vizionpat',
PatRiot767;;'PatRiot767',
hh119933;;'hh119933',
FreierKek;;'FreierKek',
vendettafsnrev;;'vendettafsnrev',
nicky_chelli;;'nicky_chelli',
Hildega42607916;;'Hildega42607916',
Morrigain2017;;'Morrigain2017',
epiphyt;;'epiphyt',
Kruzifiziert;;'Kruzifiziert',
Werwolf_GER;;'Werwolf_GER',
NewRheinberger;;'NewRheinberger',
Mario_Sin12;;'Mario_Sin12',
niklas_ee;;'niklas_ee',
mulmius;;'mulmius',
FiveFaker;;'FiveFaker',
HeideggerNow;;'HeideggerNow',
g_oschi;;'g_oschi',
GermanicusMaxus;;'GermanicusMaxus',
MissSalander88;;'MissSalander88',
PeterBergmann14;;'PeterBergmann14',
LARPingKraut;;'LARPingKraut',
FriedrichsOrden;;'FriedrichsOrden',
Amygdala712;;'Amygdala712',
AlexHannoi1896;;'AlexHannoi1896',
Marius1094;;'Marius1094',
FeuerifritG;;'FeuerifritG',
Tragetreuetrach;;'Tragetreuetrach',
Silvermachine24;;'Silvermachine24',
AnchardAran;;'AnchardAran',
MicKurti;;'MicKurti',
Hermann1870;;'Hermann1870',
DanielIII3;;'DanielIII3',
JoanaCotar ;;'JoanaCotar ',
Yuma_lein ;;'Yuma_lein ',
NobileSeba ;;'NobileSeba ',
Junge_Freiheit ;;'Junge_Freiheit ',
SomeXT ;;'SomeXT ',
APatzwahl ;;'APatzwahl ',
SteinbachErika ;;'SteinbachErika ',
neuthfer ;;'neuthfer ',
christianlueth ;;'christianlueth ',
vespasianus69bc ;;'vespasianus69bc ',
AfDKompakt ;;'AfDKompakt ',
FraukePetry ;;'FraukePetry ',
ri3dl ;;'ri3dl ',
Martin_Sellner ;;'Martin_Sellner ',
AfD_Support ;;'AfD_Support ',
huldave23 ;;'huldave23 ',
aufklaerer2017 ;;'aufklaerer2017 ',
BjoernHoecke ;;'BjoernHoecke ',
PatrickLenart ;;'PatrickLenart ',
ShakRiet ;;'ShakRiet ',
EstelleSmith64 ;;'EstelleSmith64 ',
UbbelohdeBerlin ;;'UbbelohdeBerlin ',
lawyerberlin ;;'lawyerberlin ',
DrDavidBerger ;;'DrDavidBerger ',
Hartes_Geld ;;'Hartes_Geld ',
AfD_Chan ;;'AfD_Chan ',
ReneTruninger ;;'ReneTruninger ',
MiriamOzen ;;'MiriamOzen ',
PauleHasi13 ;;'PauleHasi13 ',
DerKommentierer ;;'DerKommentierer ',
PoggenburgAndre ;;'PoggenburgAndre ',
Kranzschwinger ;;'Kranzschwinger ',
Bedb_Puetz ;;'Bedb_Puetz ',
HughBronson_AfD ;;'HughBronson_AfD ',
haraldlaatsch ;;'haraldlaatsch ',
politoreality ;;'politoreality ',
ThomasGrallla ;;'ThomasGrallla ',
hamaro777 ;;'hamaro777 ',
JoeyGerlach ;;'JoeyGerlach ',
Joerg_Meuthen ;;'Joerg_Meuthen ',
dushanwegner ;;'dushanwegner ',
IngoNorge ;;'IngoNorge ',
AfD_Bv_HH_Nord ;;'AfD_Bv_HH_Nord ',
AfDFraktionAGH ;;'AfDFraktionAGH ',
rove_we ;;'rove_we ',
Beatrix_vStorch ;;'Beatrix_vStorch ',
OliverJanich ;;'OliverJanich ',
krippmarie ;;'krippmarie ',
krk979 ;;'krk979 ',
AfD ;;'AfD ',
Laura_in_Joy ;;'Laura_in_Joy ',
Varg_I_Veum ;;'Varg_I_Veum ',
Sortex ;;'Sortex ',
djrpglol ;;'djrpglol ',
GtzFrmming ;;'GtzFrmming ',
Frank_Pasemann ;;'Frank_Pasemann ',
COMPACTMagazin ;;'COMPACTMagazin ',
RolandTichy ;;'RolandTichy ',
JStaltenberg;;'JStaltenberg',
Grals_Hueter;;'Grals_Hueter',
PastillenFelixx;;'PastillenFelixx',
P_I;;'P_I',
wegmitspam2;;'wegmitspam2',
peterbeta69;;'peterbeta69',
RatInYourBoot;;'RatInYourBoot',
IsidorMeyer1;;'IsidorMeyer1',
Meckerschwabe;;'Meckerschwabe',
reliep_dave;;'reliep_dave',
Empfehlung1;;'Empfehlung1',
OdmantSuperstar;;'OdmantSuperstar',
FcmMicha1;;'FcmMicha1',
theotherroots;;'theotherroots',
rolf_walser;;'rolf_walser',
mephistophi;;'mephistophi',
RiftHeraldine;;'RiftHeraldine',
AfD_HD;;'AfD_HD',
packofant;;'packofant',
RauteDesGrauens;;'RauteDesGrauens',
Europolitikum;;'Europolitikum',
FreiesNetzHarz;;'FreiesNetzHarz',
junkde17;;'junkde17',
montagsdemoGIDA;;'montagsdemoGIDA',
Rambonelli;;'Rambonelli',
kossonosow;;'kossonosow',
gunfunner;;'gunfunner',
ThuleErik;;'ThuleErik',
AchimW;;'AchimW',
Koschda77;;'Koschda77',
Adventure_Ost;;'Adventure_Ost',
anur_chrik;;'anur_chrik',
TPEssen;;'TPEssen',
AbagnaleF;;'AbagnaleF',
kugelfisch;;'kugelfisch',
plasticfinger;;'plasticfinger',
liberty2k15;;'liberty2k15',
brandenburgDE;;'brandenburgDE',
EnglerMD;;'EnglerMD',
sx200a;;'sx200a',
sitara695;;'sitara695',
Vivi_Virtual;;'Vivi_Virtual',
FranzChristia15;;'FranzChristia15',
Frau_Al3X;;'Frau_Al3X',
manzinus66;;'manzinus66',
gerry6868;;'gerry6868',
Carl_____Smith;;'Carl_____Smith',
xela_jena;;'xela_jena',
roem1212;;'roem1212',
wasistzeitgeist;;'wasistzeitgeist',
BRadsavljevic;;'BRadsavljevic',
MVallendar;;'MVallendar',
Populist1234;;'Populist1234',
tweecix;;'tweecix',
Zeit_fuer_AfD;;'Zeit_fuer_AfD',
CarolaMertin;;'CarolaMertin',
mongojunge;;'mongojunge',
Burschenschaft;;'Burschenschaft',
Falconsmember;;'Falconsmember',
mrgoodnews;;'mrgoodnews',
ThorOdinsonDR;;'ThorOdinsonDR',
Seinschein7;;'Seinschein7',
Boesmensch60488;;'Boesmensch60488',
umbilicussuevia;;'umbilicussuevia',
GrexitNow;;'GrexitNow',
Nessie43;;'Nessie43',
DrMinimax;;'DrMinimax',
Zarah_Zylinder;;'Zarah_Zylinder',
derschmidtjens;;'derschmidtjens',
Skototaxis;;'Skototaxis',
schmidja2017;;'schmidja2017',
MeineHauptstadt;;'MeineHauptstadt',
MamfredoMawi;;'MamfredoMawi',
AndreeZiebell;;'AndreeZiebell',
NanoFi44;;'NanoFi44',
darktweep;;'darktweep',
frag_Dietrun;;'frag_Dietrun',
JeannetteLeipz2;;'JeannetteLeipz2',
haljam26;;'haljam26',
utopia23_;;'utopia23_',
Westhim;;'Westhim',
ausbilders;;'ausbilders',
buendnis;;'buendnis',
tomygieb;;'tomygieb',
tizian52;;'tizian52',
MaurersSchorsch;;'MaurersSchorsch',
SwitchAngel1975;;'SwitchAngel1975',
rapic2012;;'rapic2012',
Systemerkel;;'Systemerkel',
NorgePrivacy;;'NorgePrivacy',
Bernemerbub;;'Bernemerbub',
B_Denklich;;'B_Denklich',
rocknord;;'rocknord',
Botchamba;;'Botchamba',
baronofstone;;'baronofstone',
Cor_Scipio;;'Cor_Scipio',
miguel7788;;'miguel7788',
Kanonenfutter82;;'Kanonenfutter82',
InDerSee;;'InDerSee',
Snape_Sama;;'Snape_Sama',
123buzios;;'123buzios',
Neodeutscher;;'Neodeutscher',
vonRoehling;;'vonRoehling',
AlterUhu;;'AlterUhu',
pantau70847839;;'pantau70847839',
woli2017;;'woli2017',
v_palme;;'v_palme',
Hexlepia;;'Hexlepia',
hatmitnixzutun;;'hatmitnixzutun',
kingknorr;;'kingknorr',
aotearoa12345;;'aotearoa12345',
bulgehot;;'bulgehot',
stopp_merkel;;'stopp_merkel',
AfD_Freunde;;'AfD_Freunde',
OlQuit;;'OlQuit',
eysvog3l;;'eysvog3l',
KaufmannTonia;;'KaufmannTonia',
crabonace;;'crabonace',
AfD_Bayern;;'AfD_Bayern',
Zukunftskinder;;'Zukunftskinder',
orakel;;'orakel',
Aequilibratis;;'Aequilibratis',
PinocchioPresse;;'PinocchioPresse',
DPflugk;;'DPflugk',
chrisjuko;;'chrisjuko',
realmilkfan;;'realmilkfan',
janine_2209;;'janine_2209',
Ralf__B;;'Ralf__B',
Creactic;;'Creactic',
willygyn12;;'willygyn12',
kritischepress1;;'kritischepress1',
JensMaierAfD;;'JensMaierAfD',
HolgerScherer;;'HolgerScherer',
von_Gneisenau;;'von_Gneisenau',
Junge_Freiheit_;;'Junge_Freiheit_',
Schmidtstahl;;'Schmidtstahl',
Troeglitz;;'Troeglitz',
C_lesDeuxEglise;;'C_lesDeuxEglise',
meerlaurer;;'meerlaurer',
RechterSpinner;;'RechterSpinner',
DjValentino45;;'DjValentino45',
karlkramer1;;'karlkramer1',
OStDTaft;;'OStDTaft',
popular33619;;'popular33619',
andere110;;'andere110',
ChristianBaier1;;'ChristianBaier1',
matialkai;;'matialkai',
DonTraghi;;'DonTraghi',
Lionicon1;;'Lionicon1',
Gwittertott;;'Gwittertott',
Tom1643F;;'Tom1643F',
Rivanov5;;'Rivanov5',
Neidhammel;;'Neidhammel',
Paragraph1Ralph;;'Paragraph1Ralph',
Milhous_vanH;;'Milhous_vanH',
denk_net_noch;;'denk_net_noch',
patriot_ch;;'patriot_ch',
AueMicha;;'AueMicha',
faho74;;'faho74',
gerrie352;;'gerrie352',
fckleft;;'fckleft',
ecclesiadei1;;'ecclesiadei1',
alisffm;;'alisffm',
keinfreiwild;;'keinfreiwild',
pipi_netanyahoo;;'pipi_netanyahoo',
harztonne;;'harztonne',
DeltaFiveEcho;;'DeltaFiveEcho',
Mountaindream5;;'Mountaindream5',
tommyleewaters;;'tommyleewaters',
uwe_guenther;;'uwe_guenther',
abc321xyblabla;;'abc321xyblabla',
fnkreisunna;;'fnkreisunna',
StefanS56831841;;'StefanS56831841',
savesoelse;;'savesoelse',
Macbeth0815;;'Macbeth0815',
olschews1;;'olschews1',
emrich_5933;;'emrich_5933',
Twinterbi;;'Twinterbi',
harry61871047;;'harry61871047',
ebobatcanaille;;'ebobatcanaille',
gertrudrichter1;;'gertrudrichter1',
RikiMasorati;;'RikiMasorati',
Berndvendetta;;'Berndvendetta',
wegecon;;'wegecon',
kreuzebra86;;'kreuzebra86',
Taykra;;'Taykra',
PilgramsWords;;'PilgramsWords',
AfDBrandenburg;;'AfDBrandenburg',
afdmunich;;'afdmunich',
MehmetAzul;;'MehmetAzul',
mockylock50;;'mockylock50',
BiibiiSilvi;;'BiibiiSilvi',
rplantiko;;'rplantiko',
hahaaaaaz;;'hahaaaaaz',
rtrf2001;;'rtrf2001',
schwarzermai;;'schwarzermai',
Frizcatcom;;'Frizcatcom',
WillRobar;;'WillRobar',
AsylwatchDE;;'AsylwatchDE',
Reibekuchen26;;'Reibekuchen26',
Oberschnuff;;'Oberschnuff',
Meike_1683;;'Meike_1683',
UweReicht;;'UweReicht',
HansRolfSchmidt;;'HansRolfSchmidt',
t_truthhh;;'t_truthhh',
HomeRogner;;'HomeRogner',
SookieS_13;;'SookieS_13',
DiaboliDiabo9;;'DiaboliDiabo9',
Neuhier76;;'Neuhier76',
GBaersch;;'GBaersch',
vilimsky;;'vilimsky',
agm_alain;;'agm_alain',
LinusManstein;;'LinusManstein',
rodolfostweets;;'rodolfostweets',
VictoriaUngarn;;'VictoriaUngarn',
westfale1815;;'westfale1815',
heike_schultz;;'heike_schultz',
WegMitHartzern;;'WegMitHartzern',
Rufer001;;'Rufer001',
QuerKopfRobot;;'QuerKopfRobot',
westfunker;;'westfunker',
HotteHorstmann;;'HotteHorstmann',
0192837I;;'0192837I',
ronaldglaeser;;'ronaldglaeser',
gmzipfel;;'gmzipfel',
Antikulturalist;;'Antikulturalist',
bloggi;;'bloggi',
ChisNoria;;'ChisNoria',
martin_gutzeit;;'martin_gutzeit',
Sharebenhaufen;;'Sharebenhaufen',
Schaun_mer_mal;;'Schaun_mer_mal',
Heide1949;;'Heide1949',
FritzSchulz;;'FritzSchulz',
boeser_Michel;;'boeser_Michel',
FfFrauki;;'FfFrauki',
KPK58P;;'KPK58P',
michael_kappe;;'michael_kappe',
rdntzd;;'rdntzd',
Fluchtursache;;'Fluchtursache',
CatEns;;'CatEns',
NancyPeggyMandy;;'NancyPeggyMandy',
Gerhard42833386;;'Gerhard42833386',
ReneFSL;;'ReneFSL',
Thereminspieler;;'Thereminspieler',
citius_fortius;;'citius_fortius',
rotbarsch69;;'rotbarsch69',
mkphh;;'mkphh',
explicitanalysi;;'explicitanalysi',
die_Schoene;;'die_Schoene',
HaNSausNklln;;'HaNSausNklln',
heike1502;;'heike1502',
habibibaba77;;'habibibaba77',
landhaustussy;;'landhaustussy',
R1070A;;'R1070A',
Germans_4Trump;;'Germans_4Trump',
Nicole161071;;'Nicole161071',
lukas_iff;;'lukas_iff',
Pugnator_;;'Pugnator_',
profraika;;'profraika',
nicolipi1;;'nicolipi1',
ibikus31;;'ibikus31',
berlinwerbung;;'berlinwerbung',
trident750;;'trident750',
m4rgotkaesemann;;'m4rgotkaesemann',
AlexiaStellar;;'AlexiaStellar',
Krakan_G;;'Krakan_G',
Saxoniagerd;;'Saxoniagerd',
Isnogud_;;'Isnogud_',
JKruetzkamp;;'JKruetzkamp',
Pako24072012;;'Pako24072012',
PeterS16649683;;'PeterS16649683',
JakobDiener;;'JakobDiener',
CyanidMichael;;'CyanidMichael',
HorstNRW;;'HorstNRW',
Silv3r_1337;;'Silv3r_1337',
mboe0407;;'mboe0407',
Achim7671;;'Achim7671',
LebenszeichenNS;;'LebenszeichenNS',
f_kierkegaard;;'f_kierkegaard',
JoeMontana99;;'JoeMontana99',
kritischergeist;;'kritischergeist',
WHetzler;;'WHetzler',
zvlrnghrsm;;'zvlrnghrsm',
SATANEins;;'SATANEins',
GeneralRene;;'GeneralRene',
Toti_S63;;'Toti_S63',
NoSystemCarlo;;'NoSystemCarlo',
HartesGeld;;'HartesGeld',
andrittis;;'andrittis',
Apoll0x;;'Apoll0x',
Karo_rot;;'Karo_rot',
crazy4golf;;'crazy4golf',
pflegefrau;;'pflegefrau',
Pegidizer;;'Pegidizer',
sobieski11;;'sobieski11',
Eth_n_Br_dberry;;'Eth_n_Br_dberry',
bluti86;;'bluti86',
bine1007;;'bine1007',
BlondJedi;;'BlondJedi',
GiantPaladin;;'GiantPaladin',
FroschkoenigPep;;'FroschkoenigPep',
ThomasGBauer;;'ThomasGBauer',
wg12307;;'wg12307',
KallePetersenII;;'KallePetersenII',
Laugarfjall2;;'Laugarfjall2',
JA_Essen;;'JA_Essen',
GermanCrosshair;;'GermanCrosshair',
Dirk20158;;'Dirk20158',
PalzBu;;'PalzBu',
mario_edelmann;;'mario_edelmann',
kigallus;;'kigallus',
AchimSpiegel;;'AchimSpiegel',
GegenKinderehen;;'GegenKinderehen',
Grandel1;;'Grandel1',
shrimpsdeluxe;;'shrimpsdeluxe',
Sascha_Reiche;;'Sascha_Reiche',
ma_gu123;;'ma_gu123',
R0BERTSpongebob;;'R0BERTSpongebob',
Kiel_Sophienhof;;'Kiel_Sophienhof',
friesenjens;;'friesenjens',
diggy2015;;'diggy2015',
Waldkauz15;;'Waldkauz15',
Golo677;;'Golo677',
SebWebTop;;'SebWebTop',
KGehirn;;'KGehirn',